R0, 0      , #  Gpa2_[Gpr1]_ppi-_Gpr1_[Gpa2]
R1, 0      , #  PDE_deg_cAMP
R2, 0      , #  Cyr1_syn_cAMP
R3, 0      , #  Bcy_[cAMP]_i-_cAMP_[Bcy]
R4, 0      , #  Rim15_p+_Igo1_[(phospho)]
R5, 0      , #  Cdc25_[Glu]_ppi-_Glu_[Cdc25]
R6, 0      , #  Cyr1_[Ras]_ppi-_Ras_[RAD]
R7, 0      , #  Gpa2_[Gpb1]_ppi+_Gpb1_[Gpa2]
R8, 0      , #  TFIIIA_[boxC]_bind+_boxCGene_[TFIIIA]
R9, 0      , #  Gpa2_[Gpb1]_ppi-_Gpb1_[Gpa2]
R10, 0      , #  Rgs2_gap_Gpa2_[(G)]
R11, 0      , #  [cAMP]
R12, 0      , #  Bcy_[cAMP]_i+_cAMP_[Bcy]
R13, 0      , #  Gpb1_[Ira]_ppi-_Ira_[Gpb1]
R14, 0      , #  TFIIIA_[DNAbindingsite]_bind+_boxCGene_[TFIIIA]
R15, 0      , #  Tpk_p+_Rim15_[(phospho)]
R16, 0      , #  TFIIIA_[DNAbindingsite]_bind-_boxCGene_[TFIIIA]
R17, 0      , #  TFIIIB_[TFIIIC]_ppi-_TFIIIC_[TFIIIB]
R18, 0      , #  Gpb1_[Ira]_ppi+_Ira_[Gpb1]
R19, 0      , #  PDE_deg_cAMP#0/1
R20, 0      , #  Gpa2_[Gpr1]_ppi+_Gpr1_[Gpa2]
R21, 0      , #  Maf1_[repressionsite]_ppi+_TFIIIB_[Maf1]
R22, 0      , #  Ira_gap_Ras_[(G)]
R23, 0      , #  Cyr1_[Gpa2]_ppi+_Gpa2_[RAD]
R24, 0      , #  Glu_[Gpr1]_ppi+_Gpr1_[Glu]
R25, 0      , #  TFIIIA_[TFIIIC]_ppi+_TFIIIC_[TFIIIA]
R26, 0      , #  TFIIIA_[TFIIIB]_ppi+_TFIIIB_[TFIIIA]
R27, 0      , #  Rim15_p+_Igo2_[(phospho)]
R28, 0      , #  TFIIIA_[TFIIIB]_ppi-_TFIIIB_[TFIIIA]
R29, 0      , #  Cyr1_[Ras]_ppi+_Ras_[RAD]
R30, 0      , #  Bcy_[Tpk]_ppi+_Tpk_[Bcy]
R31, 0      , #  PPA2_p-_Maf1_[(phospho)]
R32, 0      , #  TFIIIB_[TFIIIC]_ppi+_TFIIIC_[TFIIIB]
R33, 0      , #  [Bcy]
R34, 0      , #  Maf1_[repressionsite]_ppi-_TFIIIB_[Maf1]
R35, 0      , #  Cyr1_[Gpa2]_ppi-_Gpa2_[RAD]
R36, 0      , #  TFIIIB_syn_s5
R37, 0      , #  TFIIIA_[TFIIIC]_ppi-_TFIIIC_[TFIIIA]
R38, 0      , #  Gpr1_gef_Gpa2_[(G)]
R39, 0      , #  Cdc25_gef_Ras_[(G)]
R40, 0      , #  Tpk_p+_PDE_[(phospho)]
R41, 0      , #  Tpk_p+_Maf1_[(phospho)]
R42, 0      , #  Cdc25_[Glu]_ppi+_Glu_[Cdc25]
R43, 0      , #  TFIIIA_[boxC]_bind-_boxCGene_[TFIIIA]
R44, 0      , #  NucImp_nimp_Rim15
R45, 0      , #  Bcy_[Tpk]_ppi-_Tpk_[Bcy]
R46, 0      , #  Glu_[Gpr1]_ppi-_Gpr1_[Glu]
R47, 0      , #  NucImp2_nimp_Maf1
S0, 0      , #  Cyr1_[Gpa2]--Gpa2_[RAD]
S1, 1      , #  Gpa2_[RAD]--0
S2, 1      , #  Gpa2_[(G)]-{0}
S3, 0      , #  Gpa2_[(G)]-{gtp}
S4, 0      , #  Gpa2_[Gpb1]--Gpb1_[Gpa2]
S5, 1      , #  Gpa2_[Gpb1]--0
S6, 1      , #  Gpa2_[Gpr1]--0
S7, 0      , #  Gpa2_[Gpr1]--Gpr1_[Gpa2]
S8, 0      , #  Glu_[Gpr1]--Gpr1_[Glu]
S9, 1      , #  Gpr1_[Glu]--0
S10, 1      , #  Gpr1_[Gpa2]--0
S11, 0      , #  PDE_[(phospho)]-{p}
S12, 1      , #  PDE_[(phospho)]-{0}
S13, 1      , #  cAMP_[Bcy]--0
S14, 0      , #  Bcy_[cAMP]--cAMP_[Bcy]
S15, 0      , #  Cyr1_[Ras]--Ras_[RAD]
S16, 1      , #  Cyr1_[Ras]--0
S17, 1      , #  Cyr1_[Gpa2]--0
S18, 1      , #  Bcy_[cAMP]--0
S19, 0      , #  Bcy_[Tpk]--Tpk_[Bcy]
S20, 1      , #  Bcy_[Tpk]--0
S21, 0      , #  Rim15_[(loc)]-{nucleus}
S22, 0      , #  Rim15_[(phospho)]-{p}
S23, 1      , #  Rim15_[(phospho)]-{0}
S24, 1      , #  Rim15_[(loc)]-{0}
S25, 0      , #  Igo1_[(phospho)]-{p}
S26, 1      , #  Igo1_[(phospho)]-{0}
S27, 1      , #  Cdc25_[Glu]--0
S28, 0      , #  Cdc25_[Glu]--Glu_[Cdc25]
S29, 1      , #  Glu_[Gpr1]--0
S30, 1      , #  Glu_[Cdc25]--0
S31, 0      , #  Ras_[(G)]-{gtp}
S32, 1      , #  Ras_[(G)]-{0}
S33, 1      , #  Ras_[RAD]--0
S34, 0      , #  Gpb1_[Ira]--Ira_[Gpb1]
S35, 1      , #  Gpb1_[Ira]--0
S36, 1      , #  Gpb1_[Gpa2]--0
S37, 0      , #  Maf1_[repressionsite]--TFIIIB_[Maf1]
S38, 1      , #  TFIIIA_[DNAbindingsite]--0
S39, 0      , #  TFIIIA_[DNAbindingsite]--boxCGene_[TFIIIA]
S40, 1      , #  TFIIIA_[TFIIIB]--0
S41, 0      , #  TFIIIA_[TFIIIB]--TFIIIB_[TFIIIA]
S42, 1      , #  TFIIIA_[TFIIIC]--0
S43, 0      , #  TFIIIA_[TFIIIC]--TFIIIC_[TFIIIA]
S44, 0      , #  TFIIIA_[boxC]--boxCGene_[TFIIIA]
S45, 1      , #  TFIIIA_[boxC]--0
S46, 1      , #  boxCGene_[TFIIIA]--0
S47, 1      , #  Rgs2
S48, 1      , #  Ira_[Gpb1]--0
S49, 1      , #  Tpk_[Bcy]--0
S50, 1      , #  TFIIIB_[Maf1]--0
S51, 1      , #  TFIIIB_[TFIIIA]--0
S52, 1      , #  TFIIIB_[TFIIIC]--0
S53, 0      , #  TFIIIB_[TFIIIC]--TFIIIC_[TFIIIB]
S54, 1      , #  TFIIIC_[TFIIIA]--0
S55, 1      , #  TFIIIC_[TFIIIB]--0
S56, 0      , #  Maf1_[(loc)]-{nucleus}
S57, 0      , #  Maf1_[(phospho)]-{p}
S58, 1      , #  Maf1_[(phospho)]-{0}
S59, 1      , #  Maf1_[(loc)]-{0}
S60, 1      , #  Maf1_[repressionsite]--0
S61, 0      , #  Igo2_[(phospho)]-{p}
S62, 1      , #  Igo2_[(phospho)]-{0}
S63, 1      , #  PPA2
S64, 1      , #  NucImp
S65, 1      , #  NucImp2
S66, 1      , #  s5
